"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1617431042.936	"2021-04-03 08:24:02.936 UTC+02:00"
"PAUSE"	5.958542498E2	1617431638.791	"2021-04-03 08:33:58.791 UTC+02:00"
