secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
46,84,158,0.41739,34.902,0,322,8.4,-0.56852521,44.84010088,0,0.625324,8,0,56,84.5,79,24.5,22.5,0,0,0,0
47,84,159,0.42709,34.9668,0,376,8.8,-0.56858154,44.84017850,0,1.0377,8,0,54,79.5,79,23.5,24.5,0,0,0,0
48,84,160,0.43686,35.2044,0,371,9,-0.56863753,44.84025679,0,1.2424,8,0,51,80.5,83.5,22.5,25.5,0,0,0,0
49,84,161,0.44669,35.4384,0,379,9,-0.56869302,44.84033600,0,1.64041,8,0,51,80.5,83.5,22.5,25.5,0,0,0,0
50,85,161,0.45658,35.64,0,374,9.4,-0.56874775,44.84041596,0,2.04486,8,0,53,80.5,83.5,21,25.5,0,0,0,0
51,85,162,0.4665,35.7408,0,335,9.4,-0.56879997,44.84049718,0,2.04486,8,0,51,84.5,82.5,25,24.5,0,0,0,0
52,85,162,0.47645,35.5716,0,301,9.6,-0.56884800,44.84057999,0,2.24587,8,0,54,84,82.5,23.5,24.5,0,0,0,0
53,85,163,0.48637,35.7084,0,301,9.6,-0.56889494,44.84066272,0,2.04179,8,0,56,80.5,81.5,23.5,23,0,0,0,0
54,85,163,0.49633,35.7084,0,378,9.4,-0.56894037,44.84074629,0,1.43115,8,0,56,80.5,81.5,23.5,23,0,0,0,0
55,85,163,0.50627,35.6076,0,401,9,-0.56898655,44.84082952,0,0.619316,8,0,55,96.5,78,32,22.5,0,0,0,0
56,85,164,0.51615,35.3052,0,371,8.8,-0.56903089,44.84091267,0,0.416887,8,0,49,88,93,29.5,29.5,0,0,0,0
57,85,164,0.52597,34.902,0,361,8.4,-0.56907238,44.84099599,0,-0.402817,8,0,52,85.5,93,25,29.5,0,0,0,0
58,84,164,0.53564,34.4304,0,361,8.4,-0.56911027,44.84107872,0,-0.607525,8,0,49,76,89.5,19.5,28,0,0,0,0
59,83,165,0.5452,33.858,0,369,8,-0.56914765,44.84116052,0,-1.02593,8,0,49,76,89.5,19.5,28,0,0,0,0
60,82,165,0.55476,33.9948,0,369,8,-0.56918504,44.84124233,0,-1.43038,8,0,51,78.5,83,22,24,0,0,0,0
61,81,165,0.56425,33.7248,0,424,7.6,-0.56922091,44.84132381,0,-1.85188,8,0,54,80.5,83.5,19.5,22,0,0,0,0
62,81,165,0.57364,33.6924,0,406,7.6,-0.56925645,44.84140444,0,-2.05289,8,0,57,82,79,23.5,23,0,0,0,0
63,81,166,0.58294,32.85,0,394,7.4,-0.56928948,44.84148474,0,-2.26794,8,0,52,80,81.5,20,21,0,0,0,0
64,79,166,0.59204,32.2452,0,394,7.2,-0.56932066,44.84156361,0,-2.28692,8,0,54,80,81.5,20,21,0,0,0,0
65,76,166,0.60095,31.374,0,412,7.2,-0.56935192,44.84164064,0,-1.8845,8,0,54,82.5,82.5,22.5,21,0,0,0,0
66,75,167,0.60973,31.3416,0,415,7.2,-0.56938461,44.84171616,0,-1.68207,8,0,54,83.5,81.5,23,23,0,0,0,0
67,75,167,0.61848,31.2732,0,415,7.2,-0.56941789,44.84179126,0,-1.27474,8,0,54,85.5,81.5,23.5,23,0,0,0,0
68,75,167,0.62732,31.842,0,415,7,-0.56945024,44.84186737,0,-1.50098,8,0,54,85.5,81.5,23.5,23,0,0,0,0
69,77,168,0.63626,32.4144,0,388,7.2,-0.56948259,44.84194448,0,-0.858861,8,0,54,85.5,87.5,21.5,26.5,0,0,0,0
70,77,169,0.64519,31.9428,0,332,7.2,-0.56951646,44.84202118,0,-0.858861,8,0,54,81.5,86.5,24.5,25,0,0,0,0
71,78,169,0.65408,32.0796,0,305,7.2,-0.56955108,44.84209729,0,-0.437365,8,0,46,84.5,86,25,22,0,0,0,0
72,84,170,0.66301,32.2452,0,255,6.8,-0.56958569,44.84217373,0,-0.885293,8,0,62,84.5,86,25,22,0,0,0,0
73,87,170,0.672,32.5836,0,303,6,-0.56961897,44.84225109,0,-1.56012,8,0,54,84.5,86,25,22,0,0,0,0
74,87,170,0.68102,32.4828,0,300,6.2,-0.56964948,44.84232930,0,-1.11861,8,0,54,85.5,76,25.5,20.5,0,0,0,0
75,88,171,0.69008,32.4828,0,305,7.2,-0.56967747,44.84240834,0,-0.0148544,8,0,53,81.5,76,24,20.5,0,0,0,0
76,88,171,0.69918,32.6844,0,286,8.2,-0.56970396,44.84248805,0,1.08405,8,0,56,83.5,80,25,21.5,0,0,0,0
77,89,172,0.70826,32.6844,0,290,8.6,-0.56972718,44.84256810,0,1.52458,8,0,53,81.5,82.5,23.5,24,0,0,0,0
78,89,172,0.71744,32.7852,0,255,8.8,-0.56974780,44.84264940,0,1.96868,8,0,57,81.5,82.5,23.5,24,0,0,0,0
79,89,172,0.72661,32.8176,0,254,9,-0.56976758,44.84273071,0,1.96307,8,0,57,76,84.5,20.5,25,0,0,0,0
80,89,173,0.7358,33.0192,0,303,9,-0.56978636,44.84281226,0,1.96307,8,0,57,84.5,71.5,25,19,0,0,0,0
81,89,172,0.74497,32.7492,0,284,9,-0.56980471,44.84289382,0,1.96307,8,0,53,83.5,86.5,22,24,0,0,0,0
82,89,173,0.7541,32.7852,0,277,9,-0.56982399,44.84297479,0,2.411,8,0,55,81.5,85,24,24,0,0,0,0
83,88,173,0.76316,32.4828,0,259,9,-0.56984277,44.84305517,0,3.30088,8,0,58,81.5,85,24,24,0,0,0,0
84,88,173,0.77218,32.3136,0,286,9,-0.56985945,44.84313555,0,3.07915,8,0,58,83,80,24.5,23,0,0,0,0
85,87,173,0.78111,31.8096,0,284,8.8,-0.56987629,44.84321493,0,1.75143,8,0,52,85,85,24.5,24.5,0,0,0,0
86,87,173,0.78987,31.2048,0,305,8.8,-0.56989498,44.84329271,0,0.652532,8,0,52,85,85,24.5,24.5,0,0,0,0
87,85,173,0.79852,30.9708,0,305,8.8,-0.56991560,44.84336916,0,0.212003,8,0,51,85,85,24.5,24.5,0,0,0,0
88,83,174,0.80705,30.5676,0,305,8.6,-0.56993664,44.84344443,0,-0.240328,8,0,51,84.5,85.5,24.5,26,0,0,0,0
89,82,174,0.81553,30.4668,0,316,8.6,-0.56995827,44.84351911,0,-0.458431,8,0,51,85.5,87.5,25,25.5,0,0,0,0
90,82,174,0.82395,30.1644,0,315,8.4,-0.56998031,44.84359329,0,-0.69596,8,0,51,85.5,87.5,25,25.5,0,0,0,0
91,82,173,0.83233,30.132,0,339,8.4,-0.57000202,44.84366705,0,-0.69596,8,0,49,93.5,82.5,26,24.5,0,0,0,0
92,81,174,0.84071,30.096,0,315,8.4,-0.57002180,44.84374115,0,-0.69596,8,0,50,93.5,82.5,26,24.5,0,0,0,0
93,81,174,0.84908,30.132,0,315,8.4,-0.57004066,44.84381533,0,-0.69596,8,0,50,92,95,27.5,27.5,0,0,0,0
94,82,174,0.85749,30.1644,0,353,8.2,-0.57006061,44.84388959,0,-0.933773,8,0,51,87,93,25.5,24.5,0,0,0,0
95,82,174,0.86593,30.2652,0,332,8.4,-0.57008115,44.84396419,0,-0.472842,8,0,52,90,95,27,28.5,0,0,0,0
96,82,174,0.87437,30.096,0,303,8.4,-0.57010059,44.84403887,0,-0.472842,8,0,50,91.5,90.5,25.5,26.5,0,0,0,0
97,82,174,0.88276,30.096,0,303,8.4,-0.57011945,44.84411313,0,-0.472842,8,0,52,91.5,90.5,25.5,26.5,0,0,0,0
98,90,174,0.89118,29.9952,0,297,8.4,-0.57013940,44.84418757,0,-0.238375,8,0,52,88,86.5,27,24.5,0,0,0,0
99,90,175,0.89951,29.6604,0,284,8.4,-0.57016052,44.84426099,0,-0.238375,8,0,52,79,92.5,21.5,28,0,0,0,0
100,89,175,0.9077,29.358,0,279,8.4,-0.57018114,44.84433324,0,0,8,0,52,80.5,78.5,24,23,0,0,0,0
101,89,175,0.91586,29.1564,0,254,8.4,-0.57020159,44.84440524,0,0,8,0,55,81.5,83.5,23.5,25,0,0,0,0
102,88,175,0.92396,28.8216,0,286,8.4,-0.57022071,44.84447683,0,0,8,0,51,81.5,83.5,23.5,25,0,0,0,0
103,87,175,0.93195,28.584,0,284,8.6,-0.57023806,44.84454765,0,0.249468,8,0,51,84,83.5,23,25,0,0,0,0
104,86,175,0.93986,28.35,0,266,8.8,-0.57025591,44.84461772,0,0.740124,8,0,54,85.5,85.5,25,25,0,0,0,0
105,86,175,0.94777,28.6848,0,230,8.8,-0.57027343,44.84468780,0,0.503157,8,0,57,79.5,83,22.5,23,0,0,0,0
106,87,175,0.95574,28.854,0,228,8.6,-0.57029153,44.84475837,0,0.252216,8,0,51,79.5,83,22.5,23,0,0,0,0
